location,beds,price,area
2 BHK Residential Apartment in Lakshmipuram,"2 BHK
2 Baths","₹ 54.5 Lac
₹ 5,215/sq.ft.","1,045 sq.ft.
(97 sq.m.) Super built-up Area"
3 Bedroom Independent House in J.P Nagar,"3 BHK
3 Baths","₹ 1.25 Cr
₹ 10,416/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in University Layout,"2 BHK
2 Baths","₹ 45 Lac
₹ 10,000/sq.ft.","450 sq.ft.
(42 sq.m.) Plot Area"
2 Bedroom Independent House in N R Mohalla,"2 BHK
1 Bath","₹ 2 Cr
₹ 5,333/sq.ft.","3,750 sq.ft.
(348 sq.m.) Plot Area"
3 BHK Residential Apartment in Yadavagiri,"3 BHK
3 Baths","₹ 1.18 Cr
₹ 6,051/sq.ft.","1,950 sq.ft.
(181 sq.m.) Super built-up Area"
2 Bedroom Independent House in Vidyaranyapuram,"2 BHK
2 Baths","₹ 1.3 Cr
₹ 586/sq.ft.","22,173 sq.ft.
(2060 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
2 Baths","₹ 82 Lac
₹ 14,624/sq.ft.","581 sq.ft.
(54 sq.m.) Plot Area"
2 Bedroom Independent House in biddel,"2 BHK
1 Bath","₹ 35 Lac
₹ 1,148/sq.ft.","3,049 sq.ft.
(283 sq.m.) Plot Area"
,,,
3 BHK Residential Apartment in Vontikoppal,"3 BHK
3 Baths","₹ 95 Lac
₹ 6,493/sq.ft.","1,463 sq.ft.
(136 sq.m.) Super built-up Area"
5 Bedroom Independent House in Vijaynagar,"5 BHK
3 Baths","₹ 1.3 Cr
₹ 3,939/sq.ft.","3,300 sq.ft.
(307 sq.m.) Plot Area"
3 Bedroom Independent House in Vidyarayanapuram,"3 BHK
2 Baths","₹ 70 Lac
₹ 9,589/sq.ft.","730 sq.ft.
(68 sq.m.) Plot Area"
2 Bedroom Independent House in Kalyanagiri,"2 BHK
1 Bath","₹ 68 Lac
₹ 5,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Pandavapura,"2 BHK
2 Baths","₹ 56 Lac
₹ 4,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 67 Lac
₹ 4,785/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area"
2 Bedroom Independent House in Kalyanagiri,"2 BHK
1 Bath","₹ 70 Lac
₹ 11,666/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
4 Baths","₹ 1.15 Cr
₹ 10,416/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Yaraganahalli,"2 BHK
1 Bath","₹ 65 Lac
₹ 10,317/sq.ft.","630 sq.ft.
(59 sq.m.) Super built-up Area"
5 Bedroom Independent House in Hebbal,"5 BHK
3 Baths","₹ 90 Lac
₹ 15,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 BHK Independent Builder Floor in RS Naidu Nagar,"2 BHK
1 Bath","₹ 58 Lac
₹ 9,666/sq.ft.","600 sq.ft.
(56 sq.m.) Carpet Area"
4 Bedroom Independent House in R.S.Naidu Nagar,"4 BHK
4 Baths","₹ 49 Lac
₹ 8,166/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 Bedroom Independent House in 2nd Stage BEML Layout,"2 BHK
2 Baths","₹ 77 Lac
₹ 6,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in Bannimantap,"4 BHK
2 Baths","₹ 1.45 Cr
₹ 8,056/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area"
3 BHK Residential Apartment in J.P Nagar,"3 BHK
3 Baths","₹ 85 Lac
₹ 4,250/sq.ft.","2,000 sq.ft.
(186 sq.m.) Super built-up Area"
3 Bedroom Independent House in Srinagar,"3 BHK
3 Baths","₹ 1 Cr
₹ 7,408/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area"
2 Bedroom Independent House in Bherya,"2 BHK
2 Baths","₹ 1.75 Cr
₹ 1,607/sq.ft.","10,889 sq.ft.
(1012 sq.m.) Plot Area"
2 BHK Residential Apartment in NRI layout,"2 BHK
2 Baths","₹ 42 Lac
₹ 4,719/sq.ft.","890 sq.ft.
(83 sq.m.) Super built-up Area"
4 Bedroom Independent House in Sriramapura 2nd Stage,"4 BHK
4 Baths","₹ 3.33 Cr
₹ 11,250/sq.ft.","3,200 sq.ft.
(297 sq.m.) Plot Area"
3 Bedroom Independent House in Kuppedada,"3 BHK
3 Baths","₹ 55 - 87 Lac
₹ 3,857/sq.ft.","1,350-2,450 sq.ft.
(125-228 sq.m.) Built-up Area"
4 Bedroom Independent House in Kuppalur,"4 BHK
4 Baths","₹ 1.02 Cr
₹ 8,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
1 Bedroom Independent House in Mandi Mohalla,"1 BHK
1 Bath","₹ 37 Lac
₹ 5,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 Bedroom Independent House in shiva temple,"2 BHK
1 Bath","₹ 65 Lac
₹ 10,833/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
7 BHK Independent Builder Floor in Vontikoppal,"7 BHK
5 Baths","₹ 2.15 Cr
₹ 8,958/sq.ft.","2,400 sq.ft.
(223 sq.m.) Carpet Area"
3 BHK Residential Apartment in J.P Nagar,"3 BHK
2 Baths","₹ 60 Lac
₹ 5,405/sq.ft.","1,110 sq.ft.
(103 sq.m.) Super built-up Area"
,,,
3 BHK Residential Apartment in Vontikoppal,"3 BHK
3 Baths","₹ 85 Lac
₹ 5,809/sq.ft.","1,463 sq.ft.
(136 sq.m.) Built-up Area"
2 BHK Residential Apartment in Bannimantap,"2 BHK
2 Baths","₹ 45 Lac
₹ 4,285/sq.ft.","1,050 sq.ft.
(98 sq.m.) Built-up Area"
2 Bedroom Independent House in Rajarajeshwari Nagar,"2 BHK
2 Baths","₹ 1.3 Cr
₹ 4,695/sq.ft.","2,662 sq.ft.
(247 sq.m.) Plot Area"
2 Bedroom Independent House in Hebbal,"2 BHK
1 Bath","₹ 46 Lac
₹ 7,666/sq.ft.","600 sq.ft.
(56 sq.m.) Built-up Area"
5 Bedroom Independent House in 1st Stage Vijayanagar,"5 BHK
5 Baths","₹ 5.5 Cr
₹ 10,185/sq.ft.","5,400 sq.ft.
(502 sq.m.) Built-up Area"
3 Bedroom Independent House in Hulikere,"3 BHK
3 Baths","₹ 85 Lac
₹ 4,594/sq.ft.","1,850 sq.ft.
(172 sq.m.) Plot Area"
3 BHK Residential Apartment in Siddharthanagar,"3 BHK
3 Baths","₹ 1 Cr
₹ 5,263/sq.ft.","1,900 sq.ft.
(177 sq.m.) Super built-up Area"
3 Bedroom Independent House in Srirampura mysore,"3 BHK
2 Baths","₹ 62 Lac
₹ 1,186/sq.ft.","5,227 sq.ft.
(486 sq.m.) Plot Area"
3 BHK Residential Apartment in J.P Nagar,"3 BHK
3 Baths","₹ 68 Lac
₹ 5,271/sq.ft.","1,290 sq.ft.
(120 sq.m.) Super built-up Area"
4 Bedroom Independent House in Gangothri Layout,"4 BHK
5 Baths","₹ 4 Cr
₹ 5,828/sq.ft.","6,864 sq.ft.
(638 sq.m.) Plot Area"
2 Bedroom Independent House in Hebbal,"2 BHK
2 Baths","₹ 95 Lac
₹ 7,916/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in Manti Village,"2 BHK
2 Baths","₹ 45 Lac
₹ 1,648/sq.ft.","2,730 sq.ft.
(254 sq.m.) Plot Area"
4 BHK Independent Builder Floor in Rajiv Nagar,"4 BHK
3 Baths","₹ 52.09 Lac
₹ 8,681/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
4 Bedroom Independent House in Hebbal,"4 BHK
3 Baths","₹ 45 Lac
₹ 9,803/sq.ft.","459 sq.ft.
(43 sq.m.) Plot Area"
4 Bedroom Independent House in RT Nagar,"4 BHK
3 Baths","₹ 1.2 Cr
₹ 10,000/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Residential Apartment in Hinkal,"2 BHK
2 Baths","₹ 54 Lac
₹ 5,103/sq.ft.","1,058 sq.ft.
(98 sq.m.) Super built-up Area"
3 Bedroom Independent House in SBM Layout,"3 BHK
3 Baths","₹ 1.4 Cr
₹ 3,888/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area"
2 Bedroom Independent House in Metgahalli,"2 BHK
1 Bath","₹ 1.6 Cr
₹ 4,519/sq.ft.","3,540 sq.ft.
(329 sq.m.) Plot Area"
2 BHK Residential Apartment in Bannimantap,"2 BHK
2 Baths","₹ 40 Lac
₹ 4,210/sq.ft.","950 sq.ft.
(88 sq.m.) Carpet Area"
4 Bedroom Independent House in Bogadi,"4 BHK
4 Baths","₹ 2.25 Cr
₹ 7,291/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
4 BHK Residential Apartment in Saraswathipuram,"4 BHK
3 Baths","₹ 1.5 Cr
₹ 5,924/sq.ft.","2,532 sq.ft.
(235 sq.m.) Super built-up Area"
3 Bedroom Independent House in Srinagara Layout,"3 BHK
3 Baths","₹ 95 Lac
₹ 3,958/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area"
3 Bedroom Independent House in N R Mohalla,"3 BHK
2 Baths","₹ 2.2 Cr
₹ 6,518/sq.ft.","3,375 sq.ft.
(314 sq.m.) Plot Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 65 Lac
₹ 3,802/sq.ft.","1,710 sq.ft.
(159 sq.m.) Super built-up Area"
,,,
3 Bedroom Independent House in Srirangapatna,"3 BHK
4 Baths","₹ 1.15 Cr
₹ 3,560/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in KRS Road,"3 BHK
3 Baths","₹ 75 Lac
₹ 4,054/sq.ft.","1,850 sq.ft.
(172 sq.m.) Built-up Area"
6 BHK Independent Builder Floor in Bannimantap,"6 BHK
8 Baths","₹ 2.5 Cr
₹ 11,363/sq.ft.","2,200 sq.ft.
(204 sq.m.) Carpet Area"
2 Bedroom Independent House in Rajiv Nagar,"2 BHK
2 Baths","₹ 27 Lac
₹ 3,698/sq.ft.","730 sq.ft.
(68 sq.m.) Plot Area"
2 Bedroom Independent House in Nanjangud,"2 BHK
1 Bath","₹ 50 Lac
₹ 3,704/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area"
8 BHK Independent Builder Floor in Bogadi,"8 BHK
8 Baths","₹ 2.5 Cr
₹ 4,716/sq.ft.","5,300 sq.ft.
(492 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Chamarajapuram Mohalla,"2 BHK
3 Baths","₹ 60 Lac
₹ 5,826/sq.ft.","1,030 sq.ft.
(96 sq.m.) Super built-up Area"
5 Bedroom Independent House in 1st Stage Vijayanagar,"5 BHK
6 Baths","₹ 7 Cr
₹ 14,000/sq.ft.","5,000 sq.ft.
(465 sq.m.) Plot Area"
2 Bedroom Independent House in Hootagalli,"2 BHK
2 Baths","₹ 80 Lac
₹ 3,636/sq.ft.","2,200 sq.ft.
(204 sq.m.) Built-up Area"
5 Bedroom Independent House in 2nd Stage Vijaynagar,"5 BHK
5 Baths","₹ 4 Cr
₹ 16,666/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 Bedroom Independent House in Hootagalli,"2 BHK
2 Baths","₹ 75 Lac
₹ 3,125/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
5 Bedroom Independent House in Srirampura,"5 BHK
5 Baths","₹ 2.5 Cr
₹ 6,250/sq.ft.","4,000 sq.ft.
(372 sq.m.) Plot Area"
2 Bedroom Independent House in Kesare,"2 BHK
3 Baths","₹ 76 Lac
₹ 6,910/sq.ft.","1,100 sq.ft.
(102 sq.m.) Plot Area"
3 BHK Residential Apartment in Roopa Nagar,"3 BHK
3 Baths","₹ 75 Lac
₹ 4,561/sq.ft.","1,710 sq.ft.
(159 sq.m.) Super built-up Area"
2 Bedroom Independent House in Siddique Nagar,"2 BHK
2 Baths","₹ 65 Lac
₹ 7,222/sq.ft.","900 sq.ft.
(84 sq.m.) Built-up Area"
"3 Bedroom Independent House in Vasanth Nagar, Bannur road","3 BHK
3 Baths","₹ 80 Lac
₹ 6,667/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
5 Bedroom Independent House in Gokulam 3rd Stage,"5 BHK
6 Baths","₹ 2.5 Cr
₹ 9,469/sq.ft.","2,640 sq.ft.
(245 sq.m.) Plot Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 65 Lac
₹ 4,642/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Jayalakshmipuram,"3 BHK
3 Baths","₹ 75 Lac
₹ 5,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area"
2 BHK Residential Apartment in 3rd Stage Vijayanagar,"2 BHK
2 Baths","₹ 58 Lac
₹ 5,456/sq.ft.","1,063 sq.ft.
(99 sq.m.) Carpet Area"
2 BHK Residential Apartment in V V Mohalla,"2 BHK
2 Baths","₹ 72 Lac
₹ 6,000/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Vani Vilas Mohalla,"3 BHK
2 Baths","₹ 80 Lac
₹ 5,161/sq.ft.","1,550 sq.ft.
(144 sq.m.) Super built-up Area"
2 BHK Independent Builder Floor in 4th Stage Vijayanagar,"2 BHK
2 Baths","₹ 57 Lac
₹ 9,500/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
4 Bedroom Independent House in 3rd Stage Vijayanagar,"4 BHK
4 Baths","₹ 2 Cr
₹ 8,333/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
4 Bedroom Independent House in 2nd Stage Gokulam,"4 BHK
4 Baths","₹ 1.89 Cr
₹ 7,000/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area"
,,,
7 Bedroom Independent House in Kuvempunagar,"7 BHK
6 Baths","₹ 2 Cr
₹ 7,407/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area"
3 Bedroom Independent House in 2nd Stage Vijaynagar,"3 BHK
2 Baths","₹ 75 Lac
₹ 6,250/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
6 Bedroom Independent House in Hebbal,"6 BHK
6 Baths","₹ 1.28 Cr
₹ 10,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in 2nd Stage Vijaynagar,"4 BHK
4 Baths","₹ 92 Lac
₹ 12,266/sq.ft.","750 sq.ft.
(70 sq.m.) Plot Area"
4 BHK Residential Apartment in Dattagalli,"4 BHK
4 Baths","₹ 2.6 Cr
₹ 6,666/sq.ft.","3,900 sq.ft.
(362 sq.m.) Super built-up Area"
"3 Bedroom Independent House in 4th Stage Vijayanagar, 2nd Phase","3 BHK
3 Baths","₹ 72 Lac
₹ 12,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
"3 Bedroom Independent House in 4th Stage Vijayanagar, 2nd phase","3 BHK
3 Baths","₹ 1.5 Cr
₹ 12,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in 2nd Stage Vijayanagar,"3 BHK
3 Baths","₹ 1.62 Cr
₹ 13,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in Hebbal,"2 BHK
2 Baths","₹ 1.42 Cr
₹ 5,916/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 Bedroom Independent House in 2nd Stage Vijaynagar,"2 BHK
2 Baths","₹ 55 Lac
₹ 7,333/sq.ft.","750 sq.ft.
(70 sq.m.) Plot Area"
2 Bedroom Independent House in 2nd Stage Vijaynagar,"2 BHK
2 Baths","₹ 55 Lac
₹ 7,733/sq.ft.","750 sq.ft.
(70 sq.m.) Plot Area"
2 BHK Residential Apartment in V V Mohalla,"2 BHK
2 Baths","₹ 68 Lac
₹ 5,440/sq.ft.","1,250 sq.ft.
(116 sq.m.) Super built-up Area"
4 Bedroom Independent House in Hebbal,"4 BHK
4 Baths","₹ 1.25 Cr
₹ 10,416/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in Hebbal,"4 BHK
4 Baths","₹ 1.36 Cr
₹ 11,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in Hebbal,"3 BHK
3 Baths","₹ 46 Lac
₹ 7,666/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 Bedroom Independent House in Police layout,"2 BHK
2 Baths","₹ 88 Lac
₹ 7,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Residential Apartment in 4th Stage Vijayanagar,"2 BHK
2 Baths","₹ 68.5 Lac
₹ 6,036/sq.ft.","1,135 sq.ft.
(105 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Srirampura,"2 BHK
2 Baths","₹ 54 Lac
₹ 5,555/sq.ft.","972 sq.ft.
(90 sq.m.) Built-up Area"
3 BHK Residential Apartment in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 86.5 Lac
₹ 5,940/sq.ft.","1,456 sq.ft.
(135 sq.m.) Super built-up Area"
4 Bedroom Independent House in Vijayanagar,"4 BHK
4 Baths","₹ 2.7 Cr
₹ 11,250/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 BHK Residential Apartment in J P Nagar,"2 BHK
2 Baths","₹ 54 Lac
₹ 4,576/sq.ft.","1,180 sq.ft.
(110 sq.m.) Built-up Area"
4 Bedroom Independent House in 3rd Stage Vijayanagar,"4 BHK
4 Baths","₹ 2.25 Cr
₹ 9,375/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in Dattagalli 3rd Stage,"3 BHK
3 Baths","₹ 1.5 Cr
₹ 12,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 BHK Residential Apartment in Srirampura,"3 BHK
3 Baths","₹ 75 Lac
₹ 5,549/sq.ft.","1,355 sq.ft.
(126 sq.m.) Super built-up Area"
3 BHK Residential Apartment in 3rd Stage Vijayanagar,"3 BHK
3 Baths","₹ 2 Cr
₹ 7,142/sq.ft.","2,800 sq.ft.
(260 sq.m.) Carpet Area"
,,,
3 Bedroom Independent House in Police layout,"3 BHK
3 Baths","₹ 90 Lac
₹ 7,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Residential Apartment in Chamrajpuram,"2 BHK
2 Baths","₹ 60 Lac
₹ 5,454/sq.ft.","1,100 sq.ft.
(102 sq.m.) Carpet Area"
5 BHK Residential Apartment in KRS Road,"5 BHK
5 Baths","₹ 1.58 Cr
₹ 5,448/sq.ft.","2,900 sq.ft.
(269 sq.m.) Carpet Area"
3 Bedroom Independent House in T N Pura ring road,"3 BHK
4 Baths","₹ 1 Cr
₹ 8,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in 4th Stage Vijayanagar,"4 BHK
4 Baths","₹ 2.25 Cr
₹ 8,720/sq.ft.","2,580 sq.ft.
(240 sq.m.) Plot Area"
2 BHK Residential Apartment in Jayanagar,"2 BHK
2 Baths","₹ 64 Lac
₹ 6,336/sq.ft.","1,010 sq.ft.
(94 sq.m.) Built-up Area"
3 BHK Residential Apartment in Jayanagar,"3 BHK
3 Baths","₹ 92 Lac
₹ 6,112/sq.ft.","1,505 sq.ft.
(140 sq.m.) Built-up Area"
6 Bedroom Independent House in Kuvempunagara North,"6 BHK
6 Baths","₹ 8.5 Cr
₹ 9,444/sq.ft.","9,000 sq.ft.
(836 sq.m.) Plot Area"
2 Bedroom Independent House in 2nd Stage Vijaynagar,"2 BHK
2 Baths","₹ 55 Lac
₹ 7,333/sq.ft.","750 sq.ft.
(70 sq.m.) Plot Area"
3 Bedroom Independent House in J.P Nagar,"3 BHK
3 Baths","₹ 2.05 Cr
₹ 7,592/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area"
4 Bedroom Independent House in 1st Stage Vijayanagar,"4 BHK
4 Baths","₹ 3 Cr
₹ 13,786/sq.ft.","2,176 sq.ft.
(202 sq.m.) Plot Area"
"3 Bedroom Independent House in Manasa Tej Layout, Bogadi-Gaddige Road, Mysore","3 BHK
3 Baths","₹ 85 Lac
₹ 5,666/sq.ft.","1,500 sq.ft.
(139 sq.m.) Plot Area"
4 Bedroom Independent House in Dattagalli 3rd Stage,"4 BHK
2 Baths","₹ 1.5 Cr
₹ 12,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in Dattagalli,"2 BHK
2 Baths","₹ 75 Lac
₹ 6,250/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
5 Bedroom Independent House in Ittige Gudu,"5 BHK
4 Baths","₹ 45 Lac
₹ 10,000/sq.ft.","450 sq.ft.
(42 sq.m.) Plot Area"
4 Bedroom Independent House in Gokulam 3rd Stage,"4 BHK
3 Baths","₹ 2 Cr
₹ 6,250/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
4 Bedroom Independent House in Dattagalli 3rd Stage,"4 BHK
4 Baths","₹ 1.8 Cr
₹ 6,000/sq.ft.","3,000 sq.ft.
(279 sq.m.) Plot Area"
3 Bedroom Independent House in 2nd Stage Vijaynagar,"3 BHK
3 Baths","₹ 85 Lac
₹ 11,333/sq.ft.","750 sq.ft.
(70 sq.m.) Plot Area"
3 Bedroom Independent House in J.P Nagar,"3 BHK
3 Baths",Price on Request,"1,800 sq.ft.
(167 sq.m.) Built-up Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 95 Lac
₹ 4,750/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
3 Bedroom Independent House in somnathnagar,"3 BHK
2 Baths","₹ 95 Lac
₹ 7,916/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in Dattagalli,"3 BHK
4 Baths","₹ 1.15 Cr
₹ 9,126/sq.ft.","1,260 sq.ft.
(117 sq.m.) Plot Area"
3 Bedroom Independent House in Rotary school Road,"3 BHK
4 Baths","₹ 1.15 Cr
₹ 5,227/sq.ft.","1,260 sq.ft.
(117 sq.m.) Plot Area"
2 Bedroom Independent House in Udayagiri,"2 BHK
1 Bath","₹ 35 Lac
₹ 5,833/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
4 Bedroom Independent House in Ramkrishnanagar,"4 BHK
4 Baths","₹ 1.98 Cr
₹ 6,387/sq.ft.","3,100 sq.ft.
(288 sq.m.) Plot Area"
,,,
3 Bedroom Independent House in J.P Nagar,"3 BHK
3 Baths","₹ 70 Lac
₹ 4,375/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
1 Bedroom Independent House in Kuvempunagar,"1 BHK
1 Bath","₹ 30 Lac
₹ 7,575/sq.ft.","396 sq.ft.
(37 sq.m.) Built-up Area"
