location,beds1,beds2,price,area
"BEML Nagar, Mysore",3 BHK Villa,1568 sq.ft built up area ,[12000000],"{'value': 1568, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",5 BHK Independent House,40000 sq.ft built up area ,[108000000],"{'value': 40000, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",4 BHK Independent House,1500 sq.ft built up area ,[8500000],"{'value': 1500, 'unit': 'sq.ft'}"
"CFTRI Campus, Yadavagiri, Mysore",2 BHK Apartment,1210 sq.ft built up area ,[6000000],"{'value': 1210, 'unit': 'sq.ft'}"
"Harohalli, Mysore",2 BHK Villa,800 sq.ft built up area ,[2690000],"{'value': 800, 'unit': 'sq.ft'}"
"KC Layout, Mysore",4 BHK Independent House,5600 sq.ft built up area ,[28000000],"{'value': 5600, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[10000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Huyilalu, Mysore",Embee CNM Emerald City,"2, 3 BHK Villas","[4500000, 8900000]","{'value': 950, 'unit': 'sq.ft'}"
"Chamrajpura, Mysore",5 BHK Independent House,2000 sq.ft built up area ,[7500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Rajarajeshwari Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8100000],"{'value': 1200, 'unit': 'sq.ft'}"
"Belvadi, Mysore",3 BHK Independent House,1500 sq.ft built up area ,[8500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Chamrajpura, Mysore",5 BHK Independent House,1500 sq.ft built up area ,[7500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Madhuvana Layout, 2nd Stage, Sriramapura, Mysore",4 BHK Independent House,7500 sq.ft built up area ,[12000000],"{'value': 7500, 'unit': 'sq.ft'}"
"Lakshmipuram, Mysore",Shubham Sapphire,2 BHK Apartment,[6000000],"{'value': 1300, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[13500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2300 sq.ft built up area ,[11000000],"{'value': 2300, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,920 sq.ft built up area ,[6500001],"{'value': 920, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,920 sq.ft built up area ,[6500000],"{'value': 920, 'unit': 'sq.ft'}"
"Rajendra Nagar, Mysore",3 BHK Independent House,600 sq.ft built up area ,[4500000],"{'value': 600, 'unit': 'sq.ft'}"
"ZED Wildgrass, Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Independent House,1800 sq.ft built up area ,[15500000],"{'value': 1800, 'unit': 'sq.ft'}"
"Malgudi Apartment, Lakshmipuram, Mysore",2 BHK Apartment,1411 sq.ft built up area ,[7500000],"{'value': 1411, 'unit': 'sq.ft'}"
"Hebbal 1st Stage, Mysore",2 BHK Independent House,599 sq.ft built up area ,[4650000],"{'value': 599, 'unit': 'sq.ft'}"
"Lakshmikanthnagar, Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4800000],"{'value': 600, 'unit': 'sq.ft'}"
"Sowparnika Blue Bells, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Apartment,2150 sq.ft built up area ,[12500000],"{'value': 2150, 'unit': 'sq.ft'}"
"Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",1 BHK Independent House,600 sq.ft built up area ,[4800000],"{'value': 600, 'unit': 'sq.ft'}"
"Varuna, Mysore",2 BHK Independent House,1700 sq.ft built up area ,[8800000],"{'value': 1700, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",2 BHK Apartment,1128 sq.ft built up area ,[6800000],"{'value': 1128, 'unit': 'sq.ft'}"
"JSS Layout, Mysore",4 RK Independent House,1200 sq.ft built up area ,[9700000],"{'value': 1200, 'unit': 'sq.ft'}"
"shakthinagar, Sakthi Nagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[9500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[10000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Manuganahalli, Mysore",4 BHK Independent House,1800 sq.ft built up area ,[5500000],"{'value': 1800, 'unit': 'sq.ft'}"
"MMG Grand City, Kuppedada, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[11000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Kandayaagar, BEML Nagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[12000000],"{'value': 2200, 'unit': 'sq.ft'}"
"Basavanahalli, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[8499600],"{'value': 1200, 'unit': 'sq.ft'}"
"Sharadadevi Nagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[9500000],"{'value': 2200, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[110000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Damden City Square, Bannimantap, Mysore",2 BHK Apartment,950 sq.ft built up area ,[4000000],"{'value': 950, 'unit': 'sq.ft'}"
"Vijayanagar 1st Stage, Vijayanagar, Mysore",1 BHK Apartment,1300 sq.ft built up area ,[8500000],"{'value': 1300, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",1 BHK Independent House,700 sq.ft built up area ,[3000000],"{'value': 700, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",3 BHK Independent House,1000 sq.ft built up area ,[4500000],"{'value': 1000, 'unit': 'sq.ft'}"
"JSS Layout, Mysore",3 BHK Independent House,3000 sq.ft built up area ,[13700000],"{'value': 3000, 'unit': 'sq.ft'}"
"Kukkarahalli, Saraswathipuram, Mysore",6 BHK Independent House,3850 sq.ft built up area ,[21000000],"{'value': 3850, 'unit': 'sq.ft'}"
"Mithila Apartments , Chamundipuram, Mysore",2 BHK Apartment,960 sq.ft built up area ,[5000000],"{'value': 960, 'unit': 'sq.ft'}"
"Lakshmi Nilaya, KC Layout, Mysore",10 BHK Independent House,7000 sq.ft built up area ,[29000000],"{'value': 7000, 'unit': 'sq.ft'}"
"Lashmi Nilaya, KC Layout, Mysore",10 BHK Independent House,7200 sq.ft built up area ,[29000000],"{'value': 7200, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5500000],"{'value': 600, 'unit': 'sq.ft'}"
"pramur, Jayalakshmipuram, Mysore",3 BHK Apartment,1800 sq.ft built up area ,[12000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5500000],"{'value': 600, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5500000],"{'value': 600, 'unit': 'sq.ft'}"
"Duplex house, Udayagiri, Mysore",3 BHK Independent House,600 sq.ft built up area ,[4900000],"{'value': 600, 'unit': 'sq.ft'}"
"Udayagiri, Mysore",3 BHK Independent House,600 sq.ft built up area ,[4800000],"{'value': 600, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",2 BHK Villa,1225 sq.ft built up area ,[11000000],"{'value': 1225, 'unit': 'sq.ft'}"
"Own house, Sathagalli Layout, Mysore",4 BHK Villa,1200 sq.ft built up area ,[4600000],"{'value': 1200, 'unit': 'sq.ft'}"
"Lakshmipuram, Mysore",2 BHK Apartment,1300 sq.ft built up area ,[6000000],"{'value': 1300, 'unit': 'sq.ft'}"
"Sapphire, Lakshmipuram, Mysore",2 BHK Apartment,1300 sq.ft built up area ,[6000000],"{'value': 1300, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",5 BHK Independent House,6000 sq.ft built up area ,[75000000],"{'value': 6000, 'unit': 'sq.ft'}"
"Temple Bells, Lingambudhi Lake, Ramakrishnanagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[10999200],"{'value': 1200, 'unit': 'sq.ft'}"
"Mandi Mohalla, Mysore",3 BHK Independent House,1344 sq.ft built up area ,[6800000],"{'value': 1344, 'unit': 'sq.ft'}"
"Muda approved, Bank Employees' Colony, Bogadi, Mysore",4 BHK Independent House,2500 sq.ft built up area ,[9800000],"{'value': 2500, 'unit': 'sq.ft'}"
"G N Rajesh Sri Bommegowdru Layout, Hunsur, Mysore",3 BHK Independent House,880 sq.ft built up area ,[6000000],"{'value': 880, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Villa,1800 sq.ft built up area ,[10500000],"{'value': 1800, 'unit': 'sq.ft'}"
"Elivala, Mysore",2 BHK Independent House,500 sq.ft built up area ,[2200000],"{'value': 500, 'unit': 'sq.ft'}"
"Marase, Mysore",3 BHK Independent House,819 sq.ft built up area ,[6500000],"{'value': 819, 'unit': 'sq.ft'}"
"Gejjagalli, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[8800000],"{'value': 2400, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",2 BHK Apartment,1550 sq.ft built up area ,[10700000],"{'value': 1550, 'unit': 'sq.ft'}"
"Allanahalli Layout, Alanahalli Village, Mysore",6 BHK Independent House,600 sq.ft built up area ,[7500000],"{'value': 600, 'unit': 'sq.ft'}"
"Basavanahalli, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8499600],"{'value': 1200, 'unit': 'sq.ft'}"
"Hebbal 1stage, Hebbal Industrial Estate, Hebbal, Mysore",4 BHK Independent House,2600 sq.ft built up area ,[13000000],"{'value': 2600, 'unit': 'sq.ft'}"
"New house for sale , Kuvempunagar, Mysore",4 BHK Independent House,1350 sq.ft built up area ,[16500000],"{'value': 1350, 'unit': 'sq.ft'}"
"New house for sale, Block C, J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[12500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Prithvi Castles, Siddhartha Layout, Mysore",2 BHK Apartment,1100 sq.ft built up area ,[5200000],"{'value': 1100, 'unit': 'sq.ft'}"
"Block A, J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Kesare, Mysore",3 BHK Villa,3300 sq.ft built up area ,[25000000],"{'value': 3300, 'unit': 'sq.ft'}"
"Vijay Nagar 2nd Stage, Vijayanagar, Mysore",5 BHK Villa,6500 sq.ft built up area ,[40000000],"{'value': 6500, 'unit': 'sq.ft'}"
"Hebbal 1st Stage, Mysore",3 BHK Independent House,1000 sq.ft built up area ,[11000000],"{'value': 1000, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[15000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Mysore city centre near to palace, Fort Mohalla, Mysore",3 BHK Independent House,440 sq.ft built up area ,[4000000],"{'value': 440, 'unit': 'sq.ft'}"
"GSS Abhyodaya, Somanatha Nagar, Mysore",2 BHK Apartment,1349 sq.ft built up area ,[5000000],"{'value': 1349, 'unit': 'sq.ft'}"
"Basavanahalli, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[11500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",2 BHK Independent House,1000 sq.ft built up area ,[6500000],"{'value': 1000, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[16000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[16000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[16000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Sardar Vallabh Bhai Patel Nagara, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Gayathripuram, Mysore",2 BHK Independent House,3572 sq.ft built up area ,[18000000],"{'value': 3572, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Villa,2200 sq.ft built up area ,[7500000],"{'value': 2200, 'unit': 'sq.ft'}"
"Allanahalli Layout, Alanahalli Village, Mysore",2 BHK Independent House,750 sq.ft built up area ,[5500000],"{'value': 750, 'unit': 'sq.ft'}"
"Gayathripuram, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[11500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Eminence park, 2nd Stage, Sriramapura, Mysore",3 BHK Apartment,1354 sq.ft built up area ,[6600000],"{'value': 1354, 'unit': 'sq.ft'}"
"Srinivasa Srirampura 2nd Stage, BEML Nagar, Mysore",3 BHK Independent House,1500 sq.ft built up area ,[10500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Adventz Zuari Garden City Villa, Chamarajapuram Mohalla, Lakshmipuram, Mysore",2 BHK Apartment,1225 sq.ft built up area ,[5400000],"{'value': 1225, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",2 BHK Apartment,1098 sq.ft built up area ,[5420000],"{'value': 1098, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",1 BHK Independent House,700 sq.ft built up area ,[6800000],"{'value': 700, 'unit': 'sq.ft'}"
"KBL Silicon Valley, Avverahalli, Mysore",4 BHK Villa,3000 sq.ft built up area ,[9500000],"{'value': 3000, 'unit': 'sq.ft'}"
"Trendz Whispering Woods, Deepanagar, Mysore",3 BHK Apartment,1400 sq.ft built up area ,[6500000],"{'value': 1400, 'unit': 'sq.ft'}"
"Foundations Prime And Pride, Vidayaranya Puram, Mysore",3 BHK Apartment,2000 sq.ft built up area ,[8500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",8 BHK Independent House,5700 sq.ft built up area ,[25000000],"{'value': 5700, 'unit': 'sq.ft'}"
"ASHWINI ENCLAVE, Jettihundi, Mysore",3 BHK Independent House,1600 sq.ft built up area ,[5600000],"{'value': 1600, 'unit': 'sq.ft'}"
"Aravinda Nagar, Vivekananda Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[11000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Independent House for Sale, Allanahalli Layout, Alanahalli Village, Mysore",1 BHK Independent House,600 sq.ft built up area ,[4000000],"{'value': 600, 'unit': 'sq.ft'}"
"Priyahu Nilaya, Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5200000],"{'value': 600, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",4 BHK Villa,3000 sq.ft built up area ,[9600000],"{'value': 3000, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,1100 sq.ft built up area ,[6700000],"{'value': 1100, 'unit': 'sq.ft'}"
"SHESHA HILL VIEW, Chamundi Hill, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[4500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Gokulam 3rd Stage, Gokulam, Mysore",10 BHK Independent House,5000 sq.ft built up area ,[27000000],"{'value': 5000, 'unit': 'sq.ft'}"
"Metagalli, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[8150000],"{'value': 1200, 'unit': 'sq.ft'}"
"Foundations Silver Springs, Ilavala Hobli, Mysore",2 BHK Apartment,1166 sq.ft built up area ,[6300000],"{'value': 1166, 'unit': 'sq.ft'}"
"Aravinda Nagar, Vivekananda Nagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[12000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Kesare, Mysore",2 BHK Independent House,1500 sq.ft built up area ,[9000000],"{'value': 1500, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",4 BHK Independent House,2600 sq.ft built up area ,[18500000],"{'value': 2600, 'unit': 'sq.ft'}"
"Vontikoppal, Mysore",3 BHK Apartment,2100 sq.ft built up area ,[15000000],"{'value': 2100, 'unit': 'sq.ft'}"
"zuari garden city, Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Apartment,750 sq.ft built up area ,[3100000],"{'value': 750, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2600 sq.ft built up area ,[15000000],"{'value': 2600, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,1100 sq.ft built up area ,[6700000],"{'value': 1100, 'unit': 'sq.ft'}"
"Gokulam 3rd Stage, Gokulam, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[20000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Potomac hills apartments, Vontikoppal, Mysore",3 BHK Apartment,2100 sq.ft built up area ,[15000000],"{'value': 2100, 'unit': 'sq.ft'}"
"Allanahalli Layout, Alanahalli Village, Mysore",3 BHK Independent House,1400 sq.ft built up area ,[8000000],"{'value': 1400, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",4 BHK Independent House,2400 sq.ft built up area ,[15000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[15500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[12000000],"{'value': 2000, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Devayyana Hundi, Sriramapura, Mysore",4 BHK Independent House,8167 sq.ft built up area ,[16300000],"{'value': 8167, 'unit': 'sq.ft'}"
"Hinkal, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4600000],"{'value': 600, 'unit': 'sq.ft'}"
"Metagalli, Mysore",5 BHK Independent House,3200 sq.ft built up area ,[10000000],"{'value': 3200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",4 BHK Independent House,2200 sq.ft built up area ,[10000000],"{'value': 2200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6400000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar 1st Stage, Vijayanagar, Mysore",3 BHK Independent House,1300 sq.ft built up area ,[15500000],"{'value': 1300, 'unit': 'sq.ft'}"
"Zuari Garden City, Hulikere, Mysore",2 BHK Apartment,1240 sq.ft built up area ,[4300000],"{'value': 1240, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[12000000],"{'value': 2000, 'unit': 'sq.ft'}"
"B M Shree Nagar, BM Shree Nagar, Mysore",2 BHK Independent House,2320 sq.ft built up area ,[8500000],"{'value': 2320, 'unit': 'sq.ft'}"
"CFTRI Campus, Yadavagiri, Mysore",2 BHK Independent House,1134 sq.ft built up area ,[15000000],"{'value': 1134, 'unit': 'sq.ft'}"
"Lakshmi devi nnilnnilayanilaya , Vani Vilas Mohalla, Mysore",7 BHK Independent House,600 sq.ft built up area ,[1300000],"{'value': 600, 'unit': 'sq.ft'}"
" Nice vistas Integrated Township, Sathgalli, Mysore",4 BHK Independent House,600 sq.ft built up area ,[7000000],"{'value': 600, 'unit': 'sq.ft'}"
"Old house, Chamrajpura, Mysore",2 BHK Independent House,819 sq.ft built up area ,[8000000],"{'value': 819, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",3 BHK Independent House,40000 sq.ft built up area ,[25000000],"{'value': 40000, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",3 BHK Independent House,40000 sq.ft built up area ,[25000000],"{'value': 40000, 'unit': 'sq.ft'}"
"Brigade Sparkle, Vidayaranya Puram, Mysore",2 BHK Apartment,920 sq.ft built up area ,[4500000],"{'value': 920, 'unit': 'sq.ft'}"
"Akshata, Jayanagar, Kuvempunagar, Mysore",3 BHK Apartment,1350 sq.ft built up area ,[7400000],"{'value': 1350, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[11500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Sriramapura, Mysore",3 BHK Apartment,2400 sq.ft built up area ,[10340000],"{'value': 2400, 'unit': 'sq.ft'}"
"Rathna, Somanatha Nagar, Mysore",3 BHK Independent House,1320 sq.ft built up area ,[10100000],"{'value': 1320, 'unit': 'sq.ft'}"
"Brigade Sparkle, Vidayaranya Puram, Mysore",2 BHK Apartment,910 sq.ft built up area ,[4200000],"{'value': 910, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[16000000],"{'value': 2000, 'unit': 'sq.ft'}"
"bairava enclave, BEML Layout 2nd Stage, Rajarajeshwari Nagar, Mysore",2 BHK Villa,1200 sq.ft built up area ,[5000000],"{'value': 1200, 'unit': 'sq.ft'}"
"URS SUMUKHA, Jayanagar, Kuvempunagar, Mysore",3 BHK Apartment,1505 sq.ft built up area ,[9100000],"{'value': 1505, 'unit': 'sq.ft'}"
"URS Sumukha, Jayanagar, Kuvempunagar, Mysore",3 BHK Apartment,1505 sq.ft built up area ,[9100000],"{'value': 1505, 'unit': 'sq.ft'}"
"Zion Real estate, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Apartment,2400 sq.ft built up area ,[5800000],"{'value': 2400, 'unit': 'sq.ft'}"
"Deepanagar, Mysore",3 BHK Independent House,3400 sq.ft built up area ,[35000000],"{'value': 3400, 'unit': 'sq.ft'}"
"URS Sumukha, Jayanagar, Kuvempunagar, Mysore",2 BHK Apartment,1010 sq.ft built up area ,[7000000],"{'value': 1010, 'unit': 'sq.ft'}"
