Location,Beds,Price,Area,PricePerSqft
Vijayanagar,2,120.0,1500.0,0.08
Vijayanagar,5,68.0,1900.0,0.0357894736842105
Vijayanagar,5,250.0,2400.0,0.1041666666666666
Vijayanagar,4,45.0,1200.0,0.0375
Vijayanagar,4,25.0,600.0,0.0416666666666666
Vijayanagar,7,129.0,1200.0,0.1075
Vijayanagar,7,35.0,1200.0,0.0291666666666666
Vijayanagar,3,72.0,750.0,0.096
Vijayanagar,2,136.0,1250.0,0.1088
Vijayanagar,2,46.0,1200.0,0.0383333333333333
Vijayanagar,2,150.0,2176.0,0.0689338235294117
Vijayanagar,3,115.0,1200.0,0.0958333333333333
Vijayanagar,2,45.0,2130.0,0.0211267605633802
Vijayanagar,1,165.0,3229.0,0.0510994115825332
Vijayanagar,2,55.0,1400.0,0.0392857142857142
Vijayanagar,4,128.0,2700.0,0.0474074074074074
Vijayanagar,4,90.0,1355.0,0.066420664206642
Vijayanagar,3,100.0,1100.0,0.0909090909090909
Vijayanagar,2,52.0,1280.0,0.040625
Vijayanagar,2,140.0,2400.0,0.0583333333333333
Vijayanagar,4,65.0,1056.0,0.0615530303030303
Vijayanagar,5,225.0,600.0,0.375
Vijayanagar,5,120.0,1093.0,0.1097895699908508
Vijayanagar,3,200.0,2400.0,0.0833333333333333
Vijayanagar,12,195.0,32670.0,0.0059687786960514
Vijayanagar,2,90.0,1350.0,0.0666666666666666
Vijayanagar,2,120.0,1550.0,0.0774193548387096
Vijayanagar,2,50.0,1200.0,0.0416666666666666
Vijayanagar,5,85.0,1107.0,0.076784101174345
Vijayanagar,2,75.0,750.0,0.1
Vijayanagar,2,84.5,1250.0,0.0676
Vijayanagar,3,70.0,1463.0,0.0478468899521531
Vijayanagar,3,49.0,600.0,0.0816666666666666
Vijayanagar,2,75.0,2700.0,0.0277777777777777
Vijayanagar,2,54.0,1456.0,0.037087912087912
Vijayanagar,3,150.0,1180.0,0.1271186440677966
Vijayanagar,4,55.0,1505.0,0.0365448504983388
Vijayanagar,3,35.0,1260.0,0.0277777777777777
Vijayanagar,4,100.0,2400.0,0.0416666666666666
Vijayanagar,2,35.0,815.0,0.0429447852760736
Vijayanagar,2,68.0,174240.0,0.0003902662993572
Vijayanagar,2,360.0,700.0,0.5142857142857142
Vijayanagar,3,59.0,1200.0,0.0491666666666666
Vijayanagar,3,38.0,1150.0,0.0330434782608695
Vijayanagar,3,123.0,1200.0,0.1025
Vijayanagar,3,26.0,174240.0,0.0001492194674012
Vijayanagar,4,65.0,840.0,0.0773809523809523
Vijayanagar,3,125.0,360.0,0.3472222222222222
Vijayanagar,3,148.0,12.0,12.333333333333334
Vijayanagar,4,22.5,1200.0,0.01875
Vijayanagar,3,110.0,3230.0,0.0340557275541795
Allanahalli Layout,2,95.0,800.0,0.11875
Bannimantap,1,65.0,1290.0,0.0503875968992248
Bannimantap,2,220.0,2532.0,0.0868878357030015
Bannimantap,6,60.0,1350.0,0.0444444444444444
Bannimantap,4,72.0,800.0,0.09
Bogadi,4,62.0,1540.0,0.0402597402597402
Bogadi,3,62.0,1507.5,0.0411276948590381
Bogadi,2,44.0,1002.0,0.0439121756487025
Bogadi,3,80.0,1200.0,0.0666666666666666
Bogadi,2,72.0,835.0,0.0862275449101796
Bogadi,3,60.0,1300.0,0.0461538461538461
Bogadi,3,54.0,900.0,0.06
Bogadi,2,190.0,2400.0,0.0791666666666666
Bogadi,3,90.0,1200.0,0.075
Bogadi,4,65.0,1350.0,0.0481481481481481
Bogadi,8,400.0,5000.0,0.08
Bogadi,3,80.0,1063.0,0.0752587017873941
Bogadi,3,105.0,2400.0,0.04375
Bogadi,3,85.0,1200.0,0.0708333333333333
Bogadi,3,60.2,2400.0,0.0250833333333333
Bogadi,3,86.0,1080.0,0.0796296296296296
Bogadi,2,55.0,1350.0,0.0407407407407407
Bannimantap,2,50.0,1200.0,0.0416666666666666
Bannimantap,3,75.0,1500.0,0.05
Chamarajapuram,3,120.0,1300.0,0.0923076923076923
Chamarajapuram,2,65.0,600.0,0.1083333333333333
Dattagalli,3,86.0,1900.0,0.0452631578947368
Dattagalli,5,225.0,1550.0,0.1451612903225806
Dattagalli,3,95.0,1200.0,0.0791666666666666
Dattagalli,2,190.0,1710.0,0.1111111111111111
Dattagalli,4,142.0,1200.0,0.1183333333333333
Dattagalli,2,85.0,2400.0,0.0354166666666666
Dattagalli,3,70.0,600.0,0.1166666666666666
Dattagalli,3,72.0,2400.0,0.03
Dattagalli,3,172.0,660.0,0.2606060606060606
Dattagalli,3,34.0,600.0,0.0566666666666666
Dattagalli,3,50.0,180.0,0.2777777777777778
Dattagalli,2,50.0,3321.0,0.0150557061126166
Dattagalli,4,65.0,825.0,0.0787878787878787
Dattagalli,3,120.0,1200.0,0.1
Dattagalli,3,78.0,840.0,0.0928571428571428
Dattagalli,2,25.0,1200.0,0.0208333333333333
Dattagalli,4,44.99,2300.0,0.0195608695652173
Dattagalli,3,120.0,1350.0,0.0888888888888888
Dattagalli,5,330.0,2400.0,0.1375
Dattagalli,4,62.0,1460.0,0.0424657534246575
Dattagalli,3,60.0,2800.0,0.0214285714285714
Dattagalli,4,115.0,2000.0,0.0575
Dattagalli,3,75.0,925.0,0.081081081081081
Gayathripuram,3,65.0,1300.0,0.05
Gayathripuram,2,74.0,1200.0,0.0616666666666666
Gokulam,5,72.0,1500.0,0.048
Gokulam,4,95.0,750.0,0.1266666666666666
Gokulam,4,60.0,2700.0,0.0222222222222222
Gokulam,2,55.0,830.0,0.0662650602409638
Hanchya,2,130.0,2200.0,0.059090909090909
Hebbal,3,85.0,1539.0,0.0552306692657569
Hebbal,2,52.0,938.0,0.0554371002132196
Hebbal,3,70.0,1600.0,0.04375
Hebbal,2,55.0,1200.0,0.0458333333333333
Hebbal,3,75.0,1300.0,0.0576923076923076
Hebbal,2,93.75,600.0,0.15625
Hebbal,2,62.0,1850.0,0.0335135135135135
Hebbal,2,120.0,600.0,0.2
Hebbal,4,160.0,1058.0,0.1512287334593572
Hebbal,6,150.0,3900.0,0.0384615384615384
Hebbal,2,125.0,750.0,0.1666666666666666
Hebbal,4,68.5,600.0,0.1141666666666666
Hebbal,4,54.0,1200.0,0.045
Hebbal,3,86.5,1135.0,0.0762114537444934
Hebbal,4,125.0,600.0,0.2083333333333333
Hebbal,2,250.0,1200.0,0.2083333333333333
Hebbal,4,130.0,870.0,0.1494252873563218
Hootagalli,4,62.0,1420.0,0.0436619718309859
Hootagalli,3,160.0,1225.0,0.1306122448979592
Hootagalli,3,85.0,1900.0,0.0447368421052631
Hootagalli,2,76.0,2400.0,0.0316666666666666
Hootagalli,2,65.0,1100.0,0.059090909090909
Hulikere,1,78.0,1869.0,0.0417335473515248
Hulikere,3,400.0,5227.0,0.0765257317773101
Ittige Gudu,3,117.0,1260.0,0.0928571428571428
Ittige Gudu,2,78.0,840.0,0.0928571428571428
Ittige Gudu,5,95.0,3000.0,0.0316666666666666
JP Nagar,3,100.0,2400.0,0.0416666666666666
JP Nagar,3,55.0,1200.0,0.0458333333333333
JP Nagar,5,220.0,2160.0,0.1018518518518518
JP Nagar,3,68.0,1850.0,0.0367567567567567
JP Nagar,4,100.0,1336.0,0.0748502994011976
JP Nagar,3,85.0,1200.0,0.0708333333333333
JP Nagar,3,55.0,920.0,0.0597826086956521
JP Nagar,3,130.0,3750.0,0.0346666666666666
JP Nagar,3,333.0,10889.0,0.0305813205987694
JP Nagar,3,46.0,1050.0,0.0438095238095238
JP Nagar,3,52.09,1200.0,0.0434083333333333
JP Nagar,3,75.0,1500.0,0.05
JP Nagar,3,61.0,1350.0,0.0451851851851851
JP Nagar,2,52.0,1200.0,0.0433333333333333
JP Nagar,2,105.0,2340.0,0.0448717948717948
JP Nagar,2,120.0,2400.0,0.05
JP Nagar,2,58.0,1200.0,0.0483333333333333
Jayalakshmipuram,2,70.0,1120.0,0.0625
Jayalakshmipuram,3,134.0,750.0,0.1786666666666666
Jayalakshmipuram,3,57.0,1200.0,0.0475
Jayalakshmipuram,3,110.0,1200.0,0.0916666666666666
Jayalakshmipuram,2,190.0,1800.0,0.1055555555555555
Jayalakshmipuram,3,110.0,2400.0,0.0458333333333333
Jayanagar,2,200.0,1162.0,0.1721170395869191
Jayanagar,2,125.0,1800.0,0.0694444444444444
Jayanagar,2,205.0,9000.0,0.0227777777777777
Jayanagar,2,70.0,2400.0,0.0291666666666666
Jss Layout,7,125.0,1200.0,0.1041666666666666
KRS Road,4,149.0,3040.0,0.0490131578947368
KRS Road,3,102.0,1860.0,0.0548387096774193
KRS Road,2,76.0,1400.0,0.0542857142857142
KRS Road,4,15.0,1700.0,0.0088235294117647
KRS Road,3,125.0,1200.0,0.1041666666666666
KRS Road,2,49.0,1200.0,0.0408333333333333
KRS Road,5,92.0,2580.0,0.0356589147286821
KRS Road,2,28.0,2178.0,0.0128558310376492
KRS Road,3,42.0,750.0,0.056
Kalyanagiri,2,75.0,1165.0,0.0643776824034334
Kalyanagiri,3,75.0,1200.0,0.0625
Kalyanagiri,2,58.0,660.0,0.0878787878787878
Kalyanagiri,2,115.0,1400.0,0.0821428571428571
Kalyanagiri,2,58.0,630.0,0.092063492063492
Kesare,2,56.0,890.0,0.0629213483146067
Kuvempunagar,4,72.0,400.0,0.18
Kuvempunagar,3,45.0,1500.0,0.03
Kuvempunagar,2,72.0,1200.0,0.06
Kuvempunagar,2,185.0,950.0,0.1947368421052631
Kuvempunagar,3,90.0,630.0,0.1428571428571428
Lakshmipuram,2,73.0,1098.0,0.0664845173041894
Lakshmipuram,3,68.0,920.0,0.0739130434782608
Mandi Mohalla,1,110.0,2680.0,0.0410447761194029
Mandi Mohalla,1,85.0,2400.0,0.0354166666666666
N R Mohalla,2,85.0,1200.0,0.0708333333333333
N R Mohalla,3,87.0,2000.0,0.0435
Nanjangud,2,88.0,1200.0,0.0733333333333333
Nanjangud,2,80.0,1030.0,0.0776699029126213
Nanjangud,4,185.0,1200.0,0.1541666666666666
Police layout,3,225.0,2900.0,0.0775862068965517
Police layout,2,100.0,1450.0,0.0689655172413793
RS Naidu Nagar,2,53.0,1000.0,0.053
RS Naidu Nagar,2,85.0,1200.0,0.0708333333333333
RS Naidu Nagar,3,73.0,1200.0,0.0608333333333333
Rajiv Nagar,2,135.0,1759.0,0.076748152359295
Rajiv Nagar,2,55.0,4000.0,0.01375
Rajiv Nagar,2,125.0,1902.0,0.065720294426919
Rajiv Nagar,4,38.0,600.0,0.0633333333333333
Rajiv Nagar,2,37.0,1170.0,0.0316239316239316
Rajiv Nagar,2,95.0,2400.0,0.0395833333333333
Rajiv Nagar,4,140.0,1200.0,0.1166666666666666
Rajiv Nagar,2,700.0,5300.0,0.1320754716981132
Rajiv Nagar,2,60.0,1200.0,0.05
Saraswathipuram,4,115.0,3375.0,0.034074074074074
Saraswathipuram,4,125.0,600.0,0.2083333333333333
Saraswathipuram,6,150.0,1200.0,0.125
Sardar Vallabh Bhai Patel Nagar,3,15.0,7200.0,0.0020833333333333
Sathagalli Layout,4,55.0,1840.0,0.029891304347826
Sathagalli Layout,5,78.0,16200.0,0.0048148148148148
Sathagalli Layout,4,45.0,1550.0,0.0290322580645161
Sathagalli Layout,8,66.0,14447.0,0.0045684225098636
Sharadadevi Nagar,3,98.0,12000.0,0.0081666666666666
Siddarthanagar,2,75.0,1480.0,0.0506756756756756
Srirampura,2,140.0,1920.0,0.0729166666666666
Srirampura,3,65.0,600.0,0.1083333333333333
Srirampura,3,92.0,864.0,0.1064814814814814
Srirampura,4,54.0,2100.0,0.0257142857142857
Srirampura,2,165.0,900.0,0.1833333333333333
Srirampura,3,40.0,1500.0,0.0266666666666666
Srirampura,5,80.0,1710.0,0.0467836257309941
Srirampura,2,225.0,2400.0,0.09375
Srirampura,3,158.0,1200.0,0.1316666666666666
Srirampura,5,150.0,1200.0,0.125
Srirampura,3,110.0,1288.0,0.0854037267080745
Srirampura,3,150.0,1200.0,0.125
Srirampura,2,82.0,2400.0,0.0341666666666666
Srirangapatna,3,56.0,1700.0,0.0329411764705882
Srirangapatna,1,85.0,2400.0,0.0354166666666666
Udayagiri,4,75.0,900.0,0.0833333333333333
Udayagiri,4,110.0,1165.0,0.0944206008583691
Udayagiri,2,75.0,600.0,0.125
VV Mohalla,7,100.0,1098.0,0.0910746812386156
VV Mohalla,2,88.0,1200.0,0.0733333333333333
VV Mohalla,2,34.0,1200.0,0.0283333333333333
VV Mohalla,3,90.0,1950.0,0.0461538461538461
Vidyaranyapuram,3,135.0,2560.0,0.052734375
Vidyaranyapuram,2,120.0,2050.0,0.0585365853658536
Vidyaranyapuram,2,95.0,1240.0,0.0766129032258064
Vidyaranyapuram,2,130.0,3049.0,0.0426369301410298
Vijayanagar,7,75.5,600.0,0.1258333333333333
Vijayanagar,5,150.0,3750.0,0.04
Vijayanagar,5,65.0,600.0,0.1083333333333333
Vijayanagar,4,95.0,1800.0,0.0527777777777777
Vijayanagar,2,65.0,1500.0,0.0433333333333333
Vijayanagar,4,75.0,2400.0,0.03125
Vijayanagar,2,95.0,2400.0,0.0395833333333333
Vijayanagar,2,130.0,2400.0,0.0541666666666666
Vijayanagar,5,67.0,1200.0,0.0558333333333333
Vijayanagar,3,80.0,1485.0,0.0538720538720538
Vijayanagar,3,25.0,3800.0,0.006578947368421
Vijayanagar,4,110.0,3320.0,0.0331325301204819
